# ATOK Passport 変換改善履歴から抽出した unigram 専用辞書。
# 471 unique (読み, 表記) pairs from the saved ATOK archives.
# Format: 読み\tleftId\trightId\tcost\t表記
# Existing exact pairs are loaded for audit but Main.kt de-duplicates them before building.
# ATOK HTML has no Mozc POS/cost metadata. New entries use matching metadata when available;
# otherwise 名詞,一般 (1851/1851) and cost 9000 are used conservatively.

# かわぼ -> カワボ (existing metadata)
# あすぱらな -> アスパラ菜 (noun fallback)
あすぱらな	1851	1851	9000	アスパラ菜
# あとびょう -> アト秒 (noun fallback)
あとびょう	1851	1851	9000	アト秒
# あなごてん -> 穴子天 (noun fallback)
あなごてん	1851	1851	9000	穴子天
# あめばしら -> 雨柱 (noun fallback)
あめばしら	1851	1851	9000	雨柱
# あるむない -> アルムナイ (existing metadata)
あるむない	1851	1851	6633	アルムナイ
# あんこくし -> 暗黒史 (existing metadata)
あんこくし	1851	1851	4000	暗黒史
# いたいなあ -> 痛いなあ (noun fallback)
いたいなあ	1851	1851	9000	痛いなあ
# いなりしん -> 稲荷神 (existing metadata)
いなりしん	1851	1949	7917	稲荷神
# うすぞこの -> 薄底の (noun fallback)
うすぞこの	1851	1851	9000	薄底の
# うめきゅう -> 梅きゅう (noun fallback)
うめきゅう	1851	1851	9000	梅きゅう
# えらぐさん -> エラグ酸 (existing metadata)
えらぐさん	1929	1929	5458	エラグ酸
# えんだより -> 園だより (existing metadata)
えんだより	1851	1851	7376	園だより
# おいくらべ -> 追い比べ (existing metadata)
おいくらべ	1851	1851	4000	追い比べ
# おくしなの -> 奥信濃 (noun fallback)
おくしなの	1851	1851	9000	奥信濃
# おしづかれ -> 推し疲れ (noun fallback)
おしづかれ	1851	1851	9000	推し疲れ
# おにかさご -> オニカサゴ (existing metadata)
おにかさご	1851	1851	7616	オニカサゴ
# おにかさご -> 鬼笠子 (same reading metadata)
おにかさご	1851	1851	9000	鬼笠子
# おふぇりあ -> オフェリア (existing metadata)
おふぇりあ	1920	1920	6538	オフェリア
# おもだるい -> 重だるい (existing metadata)
おもだるい	1931	2425	6988	重だるい
# おんぞうこ -> 温蔵庫 (noun fallback)
おんぞうこ	1851	1851	9000	温蔵庫
# かかいそう -> 下階層 (noun fallback)
かかいそう	1851	1851	9000	下階層
# かげんさん -> 加減算 (same surface metadata)
かげんさん	1841	1841	9000	加減算
# かさねおき -> 重ね置き (noun fallback)
かさねおき	1851	1851	9000	重ね置き
# かさねがき -> 重ね書き (noun fallback)
かさねがき	1851	1851	9000	重ね書き
# かぜっぴき -> 風邪っぴき (noun fallback)
かぜっぴき	1851	1851	9000	風邪っぴき
# かそうだい -> 火葬代 (noun fallback)
かそうだい	1851	1851	9000	火葬代
# かたしぐれ -> 片時雨 (noun fallback)
かたしぐれ	1851	1851	9000	片時雨
# かんないぎ -> 館内着 (existing metadata)
かんないぎ	1924	1949	5324	館内着
# かんもどり -> 寒戻り (existing metadata)
かんもどり	1851	1851	4000	寒戻り
# かーぐとう -> カーグ島 (noun fallback)
かーぐとう	1851	1851	9000	カーグ島
# きあつつう -> 気圧痛 (noun fallback)
きあつつう	1851	1851	9000	気圧痛
# きどらなさ -> 気取らなさ (noun fallback)
きどらなさ	1851	1851	9000	気取らなさ
# きょうきご -> 共起語 (existing metadata)
きょうきご	1841	1949	7177	共起語
# ぎゅられる -> ギュられる (noun fallback)
ぎゅられる	1851	1851	9000	ギュられる
# くしじょう -> 櫛状 (noun fallback)
くしじょう	1851	1851	9000	櫛状
# くみんさい -> 区民祭 (noun fallback)
くみんさい	1851	1851	9000	区民祭
# くんゆづけ -> 燻油漬け (noun fallback)
くんゆづけ	1851	1851	9000	燻油漬け
# くーいんぐ -> クーイング (existing metadata)
くーいんぐ	1851	1851	7775	クーイング
# ぐこうけん -> 愚行権 (noun fallback)
ぐこうけん	1851	1851	9000	愚行権
# ぐるきゃん -> グルキャン (existing metadata)
ぐるきゃん	1851	1851	7443	グルキャン
# けっとうず -> 血統図 (noun fallback)
けっとうず	1851	1851	9000	血統図
# けねんてん -> 懸念点 (existing metadata)
けねんてん	1841	1974	6182	懸念点
# けんむしゃ -> 兼務者 (noun fallback)
けんむしゃ	1851	1851	9000	兼務者
# こあじさい -> こあじさい (same reading metadata)
こあじさい	1851	1851	9000	こあじさい
# こあじさい -> コアジサイ (existing metadata)
こあじさい	1851	1851	7810	コアジサイ
# こあじさい -> 小紫陽花 (same reading metadata)
こあじさい	1851	1851	9000	小紫陽花
# こうくがい -> 校区外 (existing metadata)
こうくがい	1851	1963	7834	校区外
# こうたいち -> 抗体値 (noun fallback)
こうたいち	1851	1851	9000	抗体値
# こうちゃば -> 紅茶葉 (noun fallback)
こうちゃば	1851	1851	9000	紅茶葉
# こうはいぶ -> 後背部 (noun fallback)
こうはいぶ	1851	1851	9000	後背部
