🃌	だいやC だいやないと かばろ はーとかばろ
🃍	とらんぷ だいやQ だいや12 だいやくいーん
🃎	とらんぷ だいやK だいや13 だいやきんぐ
🃑	とらんぷ くらぶA くらぶ1 くらぶえーす
🃒	とらんぷ くらぶ2
🃓	とらんぷ くらぶ3
🃔	とらんぷ くらぶ4
🃕	とらんぷ くらぶ5
🃖	とらんぷ くらぶ6
🃗	とらんぷ くらぶ7
🃘	とらんぷ くらぶ8
🃙	とらんぷ くらぶ9
🃚	とらんぷ くらぶ10
🃛	とらんぷ くらぶJ くらぶ11 くらぶじゃっく
🃜	くらぶC くらぶないと かばろ くらぶかばろ
🃝	とらんぷ くらぶQ くらぶ12 くらぶくいーん
🃞	とらんぷ くらぶK くらぶ13 くらぶきんぐ
Ⅰ	きごう ろーま
Ⅱ	きごう ろーま
Ⅲ	きごう ろーま
Ⅳ	きごう ろーま
Ⅴ	きごう ろーま
Ⅵ	きごう ろーま
Ⅶ	きごう ろーま
Ⅷ	きごう ろーま
Ⅸ	きごう ろーま
Ⅹ	きごう ろーま
ⅰ	きごう ろーま
ⅱ	きごう ろーま
ⅲ	きごう ろーま
ⅳ	きごう ろーま
ⅴ	きごう ろーま
ⅵ	きごう ろーま
ⅶ	きごう ろーま
ⅷ	きごう ろーま
ⅸ	きごう ろーま
ⅹ	きごう ろーま
∑	すうがく しぐま そうわ けいさん
∟	すうがく ちょっかく
∮	すうがく いんてぐらる せきぶん へいろせきぶん けいさん ふぁい けいろせきぶん しゅうかいせきぶん
ℵ	あれふ
①	きごう まる1 まるいち
②	きごう まる2 まるに
③	きごう まる3 まるさん
④	きごう まる4 まるよん まるし
⑤	きごう まる5 まるご
⑥	きごう まる6 まるろく
⑦	きごう まる7 まるなな まるしち
⑧	きごう まる8 まるはち
⑨	きごう まる9 まるきゅう まるく
⑩	きごう まる10 まるじゅう
⑪	きごう まる11 まるじゅういち
⑫	きごう まる12 まるじゅうに
⑬	きごう まる13 まるじゅうさん
⑭	きごう まる14 まるじゅうし まるじゅうよん
⑮	きごう まる15 まるじゅうご
⑯	きごう まる16 まるじゅうろく
⑰	きごう まる17 まるじゅうなな まるじゅうしち
⑱	きごう まる18 まるじゅうはち
⑲	きごう まる19 まるじゅうきゅう まるじゅうく
⑳	きごう まる20 まるにじゅう
㉑	きごう まる21 まるにじゅういち
㉒	きごう まる22 まるにじゅうに
㉓	きごう まる23 まるにじゅうさん
㉔	きごう まる24 まるにじゅうよん まるにじゅうし
㉕	きごう まる25 まるにじゅうご
㉖	きごう まる26 まるにじゅうろく
㉗	きごう まる27 まるにじゅうなな まるにじゅうしち
㉘	きごう まる28 まるにじゅうはち
㉙	きごう まる29 まるにじゅうきゅう まるにじゅうく
㉚	きごう まる30 まるさんじゅう
㉛	きごう まる31 まるさんじゅういち
㉜	きごう まる32 まるさんじゅうに
㉝	きごう まる33 まるさんじゅうさん
㉞	きごう まる34 まるさんじゅうし まるさんじゅうよん
㉟	きごう まる35 まるさんじゅうご
㊱	きごう まる36 まるさんじゅうろく
㊲	きごう まる37 まるさんじゅうなな まるさんじゅうしち
㊳	きごう まる38 まるさんじゅうはち
㊴	きごう まる39 まるさんじゅうきゅう まるさんじゅうく
㊵	きごう まる40 まるよんじゅう
㊶	きごう まる41 まるよんじゅういち
㊷	きごう まる42 まるよんじゅうに
㊸	きごう まる43 まるよんじゅうさん
㊹	きごう まる44 まるよんじゅうし まるよんじゅうよん
㊺	きごう まる45 まるよんじゅうご
㊻	きごう まる46 まるよんじゅうろく
㊼	きごう まる47 まるよんじゅうなな まるよんじゅうしち
㊽	きごう まる48 まるよんじゅうはち
㊾	きごう まる49 まるよんじゅうきゅう まるよんじゅうく
㊿	きごう まる50 まるごじゅう
㈠	かっこ1 かっこいち
㈡	かっこ2 かっこに
㈢	かっこ3 かっこさん
㈣	かっこ4 かっこよん
㈤	かっこ5 かっこご
㈥	かっこ6 かっころく
㈦	かっこ7 かっこなな かっこしち
㈧	かっこ8 かっこはち
㈨	かっこ9 かっこきゅう
㈩	かっこ10 かっこじゅう
㈱	かぶ かぶしきがいしゃ かぶしき
㈲	ゆう ゆうげんがいしゃ ゆうげん
㈹	だい だいひょう
©	ちょさくけん こぴーらいと C まるしー (c) (C) まるc まるC
®	とうろくしょうひょう とれーどまーく R まるあーる (r) (R) まるr まるR
™	しょうひょう とれーどまーく TM
㊤	うえ じょう
㊥	なか ちゅう
㊦	した げ
㊧	ひだり
㊨	みぎ
㋿	れいわ ねんごう
㍻	へいせい ねんごう
㍼	しょうわ ねんごう
㍽	たいしょう ねんごう
㍾	めいじ ねんごう
㎎	みりぐらむ たんい mg MG
㎏	きろぐらむ たんい kg KG
㎜	みりめーとる たんい mm MM
㎝	せんちめーとる たんい cm CM
㎞	きろめーとる たんい km KM
㎡	へいほうめーとる たんい へいべい mm MM
㎥	りっぽうめーとる たんい りゅうべい りゅーべー りゅーべ
㏄	しーしー たんい cc
㏍	かぶしきがいしゃ kk
＂	さん せん
＇	’
￤	たて たてぼう |
ゐ	い うぃ
ゑ	え うぇ
ヰ	い うぃ
ヱ	え うぇ
ぁ	あ すてがな こがきもじ
ぃ	い すてがな こがきもじ
ぅ	う すてがな こがきもじ
ぇ	え すてがな こがきもじ
ぉ	お すてがな こがきもじ
っ	つ すてがな こがきもじ
ゃ	や すてがな こがきもじ
ゅ	ゆ すてがな こがきもじ
ょ	よ すてがな こがきもじ
ゎ	わ すてがな こがきもじ
ゟ	より ごうじ
ァ	あ すてがな こがきもじ
ィ	い すてがな こがきもじ
ゥ	う すてがな こがきもじ
ェ	え すてがな こがきもじ
